Departure Date,Arrival Date,Departure Time,Arrival Time,Duration,Type of Flight,Price,Airline,Departure AirportArrival Airport,Departure Airport,Arrival Airport
2020-08-02,2020-08-02,17:00:00,20:25:00,2H25M,direct,260.00,SCOOT,,DMK,SIN
2020-08-02,2020-08-02,11:55:00,15:25:00,2H30M,direct,333.60,CATHAY PACIFIC,,BKK,SIN
2020-08-02,2020-08-02,10:50:00,14:15:00,2H25M,direct,340.00,SCOOT,,BKK,SIN
2020-08-03,2020-08-03,07:40:00,11:20:00,2H40M,direct,172.20,THAI LION AIR,,DMK,SIN
2020-08-03,2020-08-03,15:50:00,19:30:00,2H40M,direct,226.20,THAI LION AIR,,DMK,SIN
2020-08-03,2020-08-03,17:00:00,20:25:00,2H25M,direct,260.00,SCOOT,,DMK,SIN
2020-08-03,2020-08-03,11:55:00,15:25:00,2H30M,direct,333.60,CATHAY PACIFIC,,BKK,SIN
2020-08-03,2020-08-03,20:25:00,23:45:00,2H20M,direct,404.00,SCOOT,,BKK,SIN
2020-08-04,2020-08-04,07:40:00,11:20:00,2H40M,direct,172.20,THAI LION AIR,,DMK,SIN
2020-08-04,2020-08-04,15:50:00,19:30:00,2H40M,direct,172.20,THAI LION AIR,,DMK,SIN
2020-08-04,2020-08-04,17:00:00,20:25:00,2H25M,direct,286.00,SCOOT,,DMK,SIN
2020-08-04,2020-08-04,15:15:00,18:35:00,2H20M,direct,312.00,SCOOT,,BKK,SIN
2020-08-04,2020-08-04,20:25:00,23:45:00,2H20M,direct,312.00,SCOOT,,BKK,SIN
2020-08-05,2020-08-05,07:40:00,11:20:00,2H40M,direct,172.20,THAI LION AIR,,DMK,SIN
2020-08-05,2020-08-05,15:50:00,19:30:00,2H40M,direct,172.20,THAI LION AIR,,DMK,SIN
2020-08-05,2020-08-05,17:00:00,20:25:00,2H25M,direct,286.00,SCOOT,,DMK,SIN
2020-08-05,2020-08-06,23:05:00,02:30:00,2H25M,direct,286.00,SCOOT,,DMK,SIN
2020-08-05,2020-08-05,15:15:00,18:35:00,2H20M,direct,312.00,SCOOT,,BKK,SIN
2020-08-06,2020-08-06,07:40:00,11:20:00,2H40M,direct,172.20,THAI LION AIR,,DMK,SIN
2020-08-06,2020-08-06,15:50:00,19:30:00,2H40M,direct,172.20,THAI LION AIR,,DMK,SIN
2020-08-06,2020-08-06,17:00:00,20:25:00,2H25M,direct,286.00,SCOOT,,DMK,SIN
2020-08-06,2020-08-06,15:15:00,18:35:00,2H20M,direct,312.00,SCOOT,,BKK,SIN
2020-08-06,2020-08-06,20:25:00,23:45:00,2H20M,direct,312.00,SCOOT,,BKK,SIN
2020-08-07,2020-08-07,07:40:00,11:20:00,2H40M,direct,172.20,THAI LION AIR,,DMK,SIN
2020-08-07,2020-08-07,15:50:00,19:30:00,2H40M,direct,172.20,THAI LION AIR,,DMK,SIN
2020-08-07,2020-08-07,20:25:00,23:45:00,2H20M,direct,312.00,SCOOT,,BKK,SIN
2020-08-07,2020-08-07,08:40:00,12:05:00,2H25M,direct,312.00,SCOOT,,BKK,SIN
2020-08-07,2020-08-07,10:50:00,14:15:00,2H25M,direct,312.00,SCOOT,,BKK,SIN
2020-08-08,2020-08-08,07:40:00,11:20:00,2H40M,direct,172.20,THAI LION AIR,,DMK,SIN
2020-08-08,2020-08-08,15:50:00,19:30:00,2H40M,direct,172.20,THAI LION AIR,,DMK,SIN
